id,option_type,entry_price,entry_time,exit_price,exit_time,quantity,dte,strike,delta,qsci,implied_vol,pnl,pnl_after_fees,total_fees_paid,rolled_count,status,multi_tf_score,sentiment_score,regime,trade_return
1926,CALL,567.5259001213817,2021-05-12T02:00:00,770.1793889638429,2025-12-06T11:39:01.968751,1,13.833333333333334,58600,0.39676436283168803,0.2849908674263152,0.25,202.65348884246123,192.37342104478685,10.280067797674375,0,CLOSED,0.17925828906571378,0.39800071249186164,train,0.3389685316628585
1927,PUT,473.1092945647324,2021-05-12T17:00:00,816.9567983108358,2025-12-06T11:39:01.973445,2,13.833333333333334,53400,-0.38766667511007746,-0.3418937109998371,0.26226872360590725,687.6950074922067,664.2460207685516,23.44898672365511,0,CLOSED,-0.1550069952566665,-0.35390017495356024,train,0.7020006036656581
1928,PUT,1101.323232593324,2021-05-12T23:00:00,1406.1951416795073,2025-12-06T11:39:01.975402,1,13.833333333333334,48200,-0.3587326442884933,-0.4489808417207116,0.501271952735162,304.8719090861832,278.0414624814639,26.8304466047193,0,CLOSED,-0.31097868131443235,-0.3945764016831114,train,0.25246127045440603
1929,PUT,1253.6364082481086,2021-05-13T17:00:00,1503.4895784827022,2025-12-06T11:39:01.980635,1,13.833333333333334,47200,-0.4226696769844691,-0.27378240198270387,0.49325577750428873,249.85317023459356,220.35192217657388,29.501248058019677,0,CLOSED,-0.2885344731228449,-0.3516726570171246,train,0.17577019997728383
1930,PUT,586.5855570109015,2021-05-15T05:00:00,867.2443508630807,2025-12-06T11:39:01.994679,1,13.833333333333334,48400,-0.40464924978878014,-0.28786731986624114,0.2979831761064311,280.6587938521792,266.02717964685576,14.631614205323434,0,CLOSED,-0.1808722570641473,-0.3843405188819573,train,0.45351812104352873
1931,PUT,716.6669878687462,2021-05-15T17:00:00,675.682455878803,2025-12-06T11:39:01.999662,1,13.833333333333334,46600,-0.32208087409239483,-0.2604240939269108,0.33344352713991154,-40.98453198994321,-55.882671038041984,14.898139048098777,0,CLOSED,-0.25062790647959965,-0.32250208334519825,train,-0.07797578510519673
1932,PUT,783.2298541073687,2021-05-15T23:00:00,625.89274994224,2025-12-06T11:39:02.003539,1,13.833333333333334,45600,-0.28820534954461086,-0.2754067703384371,0.36131606661460164,-157.33710416512872,-172.41471602845954,15.077611863330816,0,CLOSED,-0.27002058902199083,-0.39075762842148754,train,-0.22013297261881967
1933,PUT,1014.4230794473042,2021-05-16T20:00:00,692.5940480590663,2025-12-06T11:39:02.011960,1,13.833333333333334,42800,-0.26008333913893,-0.4334338014228972,0.47356284536997933,-321.8290313882379,-340.0941146525561,18.265083264318164,0,CLOSED,-0.2388736974044538,-0.30690780548805113,train,-0.3352586524725484
1934,PUT,1087.763709196879,2021-05-17T02:00:00,1872.496427816,2025-12-06T11:39:02.014801,1,13.833333333333334,43200,-0.5049259454884529,-0.37271015764579074,0.5046869507920233,784.732718619121,753.0579351530832,31.67478346603781,0,CLOSED,-0.2623549393809634,-0.3890477964078638,train,0.6922991903352643
1935,PUT,1305.5815951948643,2021-05-17T17:00:00,981.5108003015885,2025-12-06T11:39:02.020963,1,13.833333333333334,41500,-0.31066506710513087,-0.2560921047990312,0.5481698932292003,-324.0707948932759,-348.5426835250879,24.471888631812043,0,CLOSED,-0.2584737192130807,-0.1857976740818176,train,-0.26696353932062455
